ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,TickerName,ticker
NSEFO,35144,1,APOLLOHOSP,APOLLOHOSP25FEBFUT,FUTSTK,APOLLOHOSP-FUTSTK,2505800035144,7486.9,6125.65,3751,0.05,125,1,APOLLOHOSP,2025-02-27 14:30:00,APOLLOHOSP 27FEB2025,APOLLOHOSP25FEBFUT
NSEFO,37512,1,COALINDIA,COALINDIA25FEBFUT,FUTSTK,COALINDIA-FUTSTK,2505800037512,412.5,337.5,52501,0.05,1050,1,COALINDIA,2025-02-27 14:30:00,COALINDIA 27FEB2025,COALINDIA25FEBFUT
NSEFO,41187,1,MARUTI,MARUTI25JANFUT,FUTSTK,MARUTI-FUTSTK,2503000041187,13110.15,10726.5,2001,0.05,50,1,MARUTI,2025-01-30 14:30:00,MARUTI 30JAN2025,MARUTI25JANFUT
NSEFO,39193,1,M&M,M&M25FEBFUT,FUTSTK,M&M-FUTSTK,2505800039193,3233.85,2645.9,8751,0.05,175,1,M&M,2025-02-27 14:30:00,M&M 27FEB2025,M&M25FEBFUT
NSEFO,41012,1,HINDUNILVR,HINDUNILVR25JANFUT,FUTSTK,HINDUNILVR-FUTSTK,2503000041012,2626.05,2148.6,9001,0.05,300,1,HINDUNILVR,2025-01-30 14:30:00,HINDUNILVR 30JAN2025,HINDUNILVR25JANFUT
NSEFO,40971,1,GRASIM,GRASIM25JANFUT,FUTSTK,GRASIM-FUTSTK,2503000040971,2700.2,2209.25,10001,0.05,250,1,GRASIM,2025-01-30 14:30:00,GRASIM 30JAN2025,GRASIM25JANFUT
NSEFO,35147,1,ADANIENT,ADANIENT25JANFUT,FUTSTK,ADANIENT-FUTSTK,2503000035147,2550.25,2086.6,9001,0.05,300,1,ADANIENT,2025-01-30 14:30:00,ADANIENT 30JAN2025,ADANIENT25JANFUT
NSEFO,41302,1,SBILIFE,SBILIFE25FEBFUT,FUTSTK,SBILIFE-FUTSTK,2505800041302,1612.2,1319.05,15001,0.05,375,1,SBILIFE,2025-02-27 14:30:00,SBILIFE 27FEB2025,SBILIFE25FEBFUT
NSEFO,35033,1,ADANIENT,ADANIENT25FEBFUT,FUTSTK,ADANIENT-FUTSTK,2505800035033,2562.85,2096.9,9001,0.05,300,1,ADANIENT,2025-02-27 14:30:00,ADANIENT 27FEB2025,ADANIENT25FEBFUT
NSEFO,35329,1,BAJFINANCE,BAJFINANCE25FEBFUT,FUTSTK,BAJFINANCE-FUTSTK,2505800035329,8562.15,7005.4,3751,0.05,125,1,BAJFINANCE,2025-02-27 14:30:00,BAJFINANCE 27FEB2025,BAJFINANCE25FEBFUT
NSEFO,41115,1,LT,LT25JANFUT,FUTSTK,LT-FUTSTK,2503000041115,3796.85,3106.5,6001,0.05,150,1,LT,2025-01-30 14:30:00,LT 30JAN2025,LT25JANFUT
NSEFO,42685,1,WIPRO,WIPRO25JANFUT,FUTSTK,WIPRO-FUTSTK,2503000042685,343.4,280.95,90001,0.05,3000,1,WIPRO,2025-01-30 14:30:00,WIPRO 30JAN2025,WIPRO25JANFUT
NSEFO,41045,1,INDUSINDBK,INDUSINDBK25JANFUT,FUTSTK,INDUSINDBK-FUTSTK,2503000041045,1043.9,854.1,20001,0.05,500,1,INDUSINDBK,2025-01-30 14:30:00,INDUSINDBK 30JAN2025,INDUSINDBK25JANFUT
NSEFO,38725,1,HDFCLIFE,HDFCLIFE25FEBFUT,FUTSTK,HDFCLIFE-FUTSTK,2505800038725,694.1,567.9,33001,0.05,1100,1,HDFCLIFE,2025-02-27 14:30:00,HDFCLIFE 27FEB2025,HDFCLIFE25FEBFUT
NSEFO,42523,1,TCS,TCS25JANFUT,FUTSTK,TCS-FUTSTK,2503000042523,4506.1,3686.85,5251,0.05,175,1,TCS,2025-01-30 14:30:00,TCS 30JAN2025,TCS25JANFUT
NSEFO,39188,1,LT,LT25FEBFUT,FUTSTK,LT-FUTSTK,2505800039188,3818.85,3124.5,6001,0.05,150,1,LT,2025-02-27 14:30:00,LT 27FEB2025,LT25FEBFUT
NSEFO,38573,1,GRASIM,GRASIM25FEBFUT,FUTSTK,GRASIM-FUTSTK,2505800038573,2716.3,2222.45,10001,0.05,250,1,GRASIM,2025-02-27 14:30:00,GRASIM 27FEB2025,GRASIM25FEBFUT
NSEFO,38495,1,DRREDDY,DRREDDY25FEBFUT,FUTSTK,DRREDDY-FUTSTK,2505800038495,1304.8,1067.55,18751,0.05,625,1,DRREDDY,2025-02-27 14:30:00,DRREDDY 27FEB2025,DRREDDY25FEBFUT
NSEFO,41289,1,RELIANCE,RELIANCE25FEBFUT,FUTSTK,RELIANCE-FUTSTK,2505800041289,1364.95,1116.8,20001,0.05,500,1,RELIANCE,2025-02-27 14:30:00,RELIANCE 27FEB2025,RELIANCE25FEBFUT
NSEFO,42512,1,TATAMOTORS,TATAMOTORS25JANFUT,FUTSTK,TATAMOTORS-FUTSTK,2503000042512,827.85,677.3,27501,0.05,550,1,TATAMOTORS,2025-01-30 14:30:00,TATAMOTORS 30JAN2025,TATAMOTORS25JANFUT
NSEFO,41513,1,ULTRACEMCO,ULTRACEMCO25FEBFUT,FUTSTK,ULTRACEMCO-FUTSTK,2505800041513,12747.65,10429.9,2001,0.05,50,1,ULTRACEMCO,2025-02-27 14:30:00,ULTRACEMCO 27FEB2025,ULTRACEMCO25FEBFUT
NSEFO,41087,1,INFY,INFY25JANFUT,FUTSTK,INFY-FUTSTK,2503000041087,2067.25,1691.4,12001,0.05,400,1,INFY,2025-01-30 14:30:00,INFY 30JAN2025,INFY25JANFUT
NSEFO,38727,1,HEROMOTOCO,HEROMOTOCO25FEBFUT,FUTSTK,HEROMOTOCO-FUTSTK,2505800038727,4497.15,3679.5,4501,0.05,150,1,HEROMOTOCO,2025-02-27 14:30:00,HEROMOTOCO 27FEB2025,HEROMOTOCO25FEBFUT
NSEFO,38502,1,EICHERMOT,EICHERMOT25FEBFUT,FUTSTK,EICHERMOT-FUTSTK,2505800038502,5732.3,4690.05,5251,0.05,175,1,EICHERMOT,2025-02-27 14:30:00,EICHERMOT 27FEB2025,EICHERMOT25FEBFUT
