ExchangeSegment,ExchangeInstrumentID,Name,Description,InstrumentID,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,OptionType,TickerName,ticker
NSEFO,9955396,HINDALCO,HINDALCO24NOV24DECFUT,2100109955396,42001,0.05,1400,1,,2024-11-28 14:30:00,1,1,
NSEFO,9422395,BPCL,BPCL24NOV24DECFUT,2100109422395,72001,0.05,1800,1,,2024-11-28 14:30:00,1,1,
NSEFO,9955139,HEROMOTOCO,HEROMOTOCO24NOV24DECFUT,2100109955139,4501,0.05,150,1,,2024-11-28 14:30:00,1,1,
NSEFO,10012253,TATAMOTORS,TATAMOTORS24NOV24DECFUT,2100110012253,22001,0.05,550,1,,2024-11-28 14:30:00,1,1,
NSEFO,10017890,TITAN,TITAN24NOV24DECFUT,2100110017890,7001,0.05,175,1,,2024-11-28 14:30:00,1,1,
NSEFO,10000702,POWERGRID,POWERGRID24NOV24DECFUT,2100110000702,72001,0.05,1800,1,,2024-11-28 14:30:00,1,1,
NSEFO,9581683,COALINDIA,COALINDIA24NOV24DECFUT,2100109581683,42001,0.05,1050,1,,2024-11-28 14:30:00,1,1,
NSEFO,10006602,SBILIFE,SBILIFE24NOV24DECFUT,2100110006602,15001,0.05,375,1,,2024-11-28 14:30:00,1,1,
NSEFO,9148702,APOLLOHOSP,APOLLOHOSP24NOV24DECFUT,2100109148702,3751,0.05,125,1,,2024-11-28 14:30:00,1,1,
NSEFO,9966026,INDUSINDBK,INDUSINDBK24NOV24DECFUT,2100109966026,15001,0.05,500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9943223,DRREDDY,DRREDDY24NOV24DECFUT,2100109943223,18751,0.05,625,1,,2024-11-28 14:30:00,1,1,
NSEFO,9991352,ONGC,ONGC24NOV24DECFUT,2100109991352,77001,0.05,1925,1,,2024-11-28 14:30:00,1,1,
NSEFO,9215195,BAJFINANCE,BAJFINANCE24NOV24DECFUT,2100109215195,3751,0.05,125,1,,2024-11-28 14:30:00,1,1,
NSEFO,10002247,RELIANCE,RELIANCE24NOV24DECFUT,2100110002247,15001,0.05,500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9214169,BAJAJ-AUTO,BAJAJ-AUTO24NOV24DECFUT,2100109214169,2251,0.05,75,1,,2024-11-28 14:30:00,1,1,
NSEFO,9990557,NTPC,NTPC24NOV24DECFUT,2100109990557,60001,0.05,1500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9943737,EICHERMOT,EICHERMOT24NOV24DECFUT,2100109943737,5251,0.05,175,1,,2024-11-28 14:30:00,1,1,
NSEFO,9952007,GRASIM,GRASIM24NOV24DECFUT,2100109952007,10001,0.05,250,1,,2024-11-28 14:30:00,1,1,
NSEFO,10020718,UPL,UPL24NOV24DECFUT,2100110020718,39001,0.05,1300,1,,2024-11-28 14:30:00,1,1,
NSEFO,9957845,HINDUNILVR,HINDUNILVR24NOV24DECFUT,2100109957845,9001,0.05,300,1,,2024-11-28 14:30:00,1,1,
NSEFO,9214938,BAJAJFINSV,BAJAJFINSV24NOV24DECFUT,2100109214938,15001,0.05,500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9953070,HCLTECH,HCLTECH24NOV24DECFUT,2100109953070,14001,0.05,350,1,,2024-11-28 14:30:00,1,1,
NSEFO,10012767,TATASTEEL,TATASTEEL24NOV24DECFUT,2100110012767,165001,0.01,5500,1,,2024-11-28 14:30:00,1,1,
NSEFO,9969845,JSWSTEEL,JSWSTEEL24NOV24DECFUT,2100109969845,27001,0.05,675,1,,2024-11-28 14:30:00,1,1,
NSEFO,10008146,SUNPHARMA,SUNPHARMA24NOV24DECFUT,2100110008146,14001,0.05,350,1,,2024-11-28 14:30:00,1,1,
NSEFO,10016352,TCS,TCS24NOV24DECFUT,2100110016352,5251,0.05,175,1,,2024-11-28 14:30:00,1,1,
NSEFO,9954873,HDFCLIFE,HDFCLIFE24NOV24DECFUT,2100109954873,33001,0.05,1100,1,,2024-11-28 14:30:00,1,1,
NSEFO,9581426,CIPLA,CIPLA24NOV24DECFUT,2100109581426,16251,0.05,325,1,,2024-11-28 14:30:00,1,1,
NSEFO,9941492,DIVISLAB,DIVISLAB24NOV24DECFUT,2100109941492,4001,0.05,100,1,,2024-11-28 14:30:00,1,1,
NSEFO,9980290,MARUTI,MARUTI24NOV24DECFUT,2100109980290,2001,0.05,50,1,,2024-11-28 14:30:00,1,1,
